Source_Language,Word,First_Use_Year,MW_Included,Category,Max_Frequency,Mean_Frequency,Non_Zero_Years,Is_Multi_Source,Source_Count
法语,consommé,,0,汤,1.508687076220586e-07,4.032346078163089e-08,221.0,0,1
土耳其语,rice wine,,0,饮品,2.2819827043869217e-07,4.0674188884474574e-08,213.0,0,1
纳瓦特尔语,pimiento,1843,1,蔬菜,1.788349948128598e-07,4.2813605699499335e-08,212.0,1,2
西班牙语,margarita,1956,1,饮品,2.959133423376313e-07,4.3427753230631846e-08,221.0,0,1
意大利语,cappuccino,1893,1,饮品,4.191101408780794e-07,4.372771009236509e-08,190.0,0,1
阿拉伯语,mocha,1773,1,饮品,2.871700611909286e-07,4.60214702904684e-08,221.0,1,2
德语,pretzel,1831,1,烘焙,2.858470590386527e-07,4.611018749855572e-08,210.0,0,1
意大利语,ravioli,1760,1,面食,3.287408917783198e-07,4.8088043599297936e-08,208.0,0,1
意大利语,pesto,1937,1,调味品,5.38243495741751e-07,4.9783705568559947e-08,216.0,0,1
意大利语,risotto,1821,1,主食,4.821891609805919e-07,5.14159592090578e-08,219.0,0,1
纳瓦特尔语,taco,1901,1,街头小吃,4.823822418334853e-07,5.405239535617224e-08,221.0,1,2
阿拉伯语,carafe,1767,1,器具,3.285532394719277e-07,5.5839806542851776e-08,221.0,0,1
意大利语,lasagna,1846,1,面食,5.817650341149212e-07,5.6102457896146537e-08,214.0,0,1
纳瓦特尔语,chicha,1581,1,饮品,2.1287184281959528e-07,5.6455830932516046e-08,221.0,0,1
法语,bagel,1898,1,烘焙,5.281295086336156e-07,5.6777675986071857e-08,216.0,0,1
意大利语,ricotta,1617,1,乳制品,5.397993488389017e-07,5.762189309550236e-08,218.0,0,1
阿拉伯语,baba,1813,1,菜品,2.755508948634348e-07,6.144198333083106e-08,221.0,0,1
波斯语,chutney,1792,1,调味品,3.834516267683544e-07,6.421029789795446e-08,200.0,1,2
意大利语,polenta,12世纪,1,主食,3.863474985012415e-07,7.03571392336285e-08,221.0,0,1
法语,vinaigrette,1811,1,调味品,4.597307037913977e-07,7.046328383975469e-08,215.0,0,1
日语,miso,1615,1,调味品,6.208676381902478e-07,7.280817034731393e-08,221.0,1,2
土耳其语,cuttlefish,1591,1,海鲜,1.9372782641572227e-07,7.652992624409072e-08,221.0,0,1
纳瓦特尔语,quinoa,1625,1,食材,1.0123185347765684e-06,7.77475499225535e-08,221.0,0,1
法语,bistro,1919,1,餐厅,5.899630122842479e-07,7.880350706959983e-08,221.0,0,1
西班牙语,flan,1846,1,甜品,1.528646253388745e-07,7.901196486379097e-08,221.0,0,1
意大利语,mozzarella,1911,1,乳制品,7.323019336321782e-07,7.930644912127165e-08,160.0,0,1
阿拉伯语,julep,14世纪,1,饮品,2.317705245502566e-07,7.942089528130394e-08,221.0,0,1
西班牙语,tapas,1817,1,小菜,4.812031144345903e-07,7.953862636497113e-08,221.0,0,1
法语,mousse,1885,1,甜品,4.3866177179552324e-07,8.485741139267768e-08,221.0,0,1
意大利语,salami,1850,1,肉类,4.0534542173580643e-07,8.55228041057254e-08,221.0,0,1
纳瓦特尔语,pulque,1693,1,饮品,1.8520134403843258e-07,8.555037117925416e-08,221.0,0,1
意大利语,latte,1985,1,饮品,6.192381891066492e-07,8.559279563163207e-08,221.0,0,1
土耳其语,vermouth,1806,1,饮品,2.69507548214928e-07,8.764203858159478e-08,202.0,0,1
波斯语,hazelnut,12世纪,1,坚果,3.712479497153254e-07,8.840650341006453e-08,221.0,1,2
德语,delicatessen,1885,1,食品/店,2.884498034713293e-07,9.580758028198304e-08,195.0,0,1
法语,purée,,0,泥,7.629807084543115e-07,9.615907054277339e-08,221.0,0,1
纳瓦特尔语,tequila,1849,1,饮品,8.939615716891629e-07,9.673264713912053e-08,210.0,1,2
日语,sushi,1879,1,海鲜,9.66396807403466e-07,1.0612911288038345e-07,221.0,0,1
汉语,wok,1952,1,厨具,5.861777318776668e-07,1.072936273768775e-07,221.0,0,1
荷兰语,waffle,1744,1,烘焙,4.6186430527736134e-07,1.0757601622287435e-07,221.0,0,1
意大利语,espresso,1930,1,饮品,1.0244283430438372e-06,1.0957602300323243e-07,221.0,0,1
韩语,sesame oil,1870,1,调味品,5.229700426363186e-07,1.1132980199806073e-07,209.0,0,1
纳瓦特尔语,tortilla,1648,1,主食,7.740027448172831e-07,1.1161514516910389e-07,221.0,1,2
阿拉伯语,bergamot,1600,1,水果,2.2198578010699883e-07,1.1169085470158229e-07,221.0,0,1
意大利语,vermicelli,1669,1,面食,1.770213649316637e-07,1.1355840567134029e-07,221.0,0,1
阿拉伯语,chai,1984,1,饮品,3.4263252603393214e-07,1.1545236599425317e-07,221.0,1,2
法语,chowder,1732,1,汤,3.518121575650314e-07,1.1816539864250297e-07,221.0,0,1
德语,bock,1835,1,饮品,2.511610901478889e-07,1.1850576393543553e-07,221.0,0,1
土耳其语,sultana,1585,1,水果,5.1403092576103e-07,1.203096439588837e-07,221.0,0,1
土耳其语,tarragon,1538,1,调味品,4.607040214718187e-07,1.2148877734401697e-07,221.0,0,1
波斯语,pistachio,1598,1,坚果,3.265711459984492e-07,1.229020894749651e-07,221.0,1,2
法语,sauté,,0,烹饪法,1.3647185629192142e-06,1.247928859370553e-07,220.0,0,1
西班牙语,cilantro,1903,1,调味品,1.430040323871903e-06,1.262516672413286e-07,176.0,1,2
纳瓦特尔语,amaranth,1616,1,食材,2.29269303986257e-07,1.2651564215468597e-07,221.0,0,1
纳瓦特尔语,chia,1832,1,食材,5.119268077383563e-07,1.2727519233126745e-07,221.0,0,1
土耳其语,martini,1890,1,饮品,7.950343712894079e-07,1.2844199181438594e-07,221.0,0,1
土耳其语,jellyfish,1818,1,海鲜,6.587924060243365e-07,1.359210227924806e-07,214.0,0,1
德语,sauerkraut,1617,1,小菜,3.893026822814656e-07,1.363054674017504e-07,218.0,0,1
法语,omelette,1611,1,蛋类,3.9289698504165126e-07,1.3743908143255846e-07,221.0,0,1
土耳其语,oregano,1771,1,调味品,1.1920152311566715e-06,1.402327103790357e-07,205.0,0,1
纳瓦特尔语,zucchini,1925,1,蔬菜,1.095040212411342e-06,1.4063490210404826e-07,166.0,1,3
波斯语,caraway,13世纪,1,调味品,2.3139428151353059e-07,1.4328257654878732e-07,221.0,1,3
阿拉伯语,alembic,14世纪,1,器具,5.280132484131173e-07,1.4352461743891174e-07,221.0,0,1
土耳其语,cardamom,15世纪,1,调味品,6.393324107583404e-07,1.4744587505507546e-07,221.0,0,1
纳瓦特尔语,cashew,1598,1,坚果,4.657596710850547e-07,1.5494073850814305e-07,221.0,1,2
纳瓦特尔语,salsa,1962,1,调味品,1.3805894078749198e-06,1.575997805365891e-07,221.0,1,2
法语,entrée,,0,菜品,5.774379425409799e-07,1.6000447985163842e-07,221.0,0,1
土耳其语,parsnip,14世纪,1,蔬菜,2.6465029025400456e-07,1.6119394812910937e-07,221.0,0,1
土耳其语,allspice,1621,1,调味品,3.6302034800428373e-07,1.6611504587031434e-07,221.0,0,1
纳瓦特尔语,guava,1604,1,水果,2.7982919854301666e-07,1.705059873806976e-07,221.0,1,2
汉语,tofu,1771,1,豆制品,1.823980109553044e-06,1.7338485312550914e-07,221.0,1,3
波斯语,licorice,13世纪,1,甜品,4.87957598644633e-07,1.7368888291502146e-07,221.0,0,1
纳瓦特尔语,ipecac,1682,1,药品,4.913186038330813e-07,1.73984322204918e-07,221.0,0,1
土耳其语,marjoram,15世纪,1,调味品,4.321570575679549e-07,1.7999247256602617e-07,221.0,0,1
汉语,ketchup,1690,1,调味品,1.0215342984208422e-06,1.858833442112472e-07,221.0,1,2
汉语,soy sauce,1775,1,调味品,1.3966380590448222e-06,1.874406665375265e-07,200.0,1,3
土耳其语,prawn,15世纪,1,海鲜,7.186785962533447e-07,1.8827134997717016e-07,221.0,0,1
纳瓦特尔语,curare,1777,1,药品,7.705913763597241e-07,1.9188970032388799e-07,221.0,0,1
波斯语,arrack,1521,1,饮品,4.89095396817772e-07,1.922501500628088e-07,221.0,1,2
阿拉伯语,sumac,14世纪,1,调味品,4.740348263762176e-07,1.967633654296489e-07,221.0,0,1
波斯语,caviar,1560,1,食材,5.676649834640557e-07,2.0477756303512803e-07,221.0,1,2
纳瓦特尔语,papaya,1598,1,水果,5.844511049092813e-07,2.066300403489855e-07,221.0,1,2
纳瓦特尔语,manioc,1544,1,食材,4.523228795960677e-07,2.0663785484764218e-07,221.0,0,1
波斯语,cumin,12世纪,1,调味品,1.5598376259211882e-06,2.158360881558833e-07,221.0,1,3
波斯语,sherbet,1603,1,饮品,4.691786200185432e-07,2.1918348916837346e-07,221.0,1,3
波斯语,tamarind,15世纪,1,调味品,4.764286407927492e-07,2.2373924720609597e-07,221.0,1,3
韩语,laver,1535,1,食材,5.524880870260469e-07,2.2877158244370145e-07,221.0,0,1
土耳其语,paprika,1830,1,调味品,1.124763351916564e-06,2.3194131577848625e-07,214.0,0,1
德语,lager,1852,1,饮品,5.964308148317546e-07,2.327722000288769e-07,221.0,0,1
土耳其语,eggplant,1767,1,蔬菜,1.0068776776149335e-06,2.383742929093744e-07,221.0,0,1
阿拉伯语,artichoke,1530,1,蔬菜,5.150057234004635e-07,2.470601340065756e-07,221.0,1,2
汉语,ginseng,1654,1,药材/食材,7.751206437335765e-07,2.483567196086764e-07,221.0,0,1
德语,hamburger,1884,1,肉类,1.2289113036396363e-06,2.618033884868811e-07,220.0,0,1
波斯语,anise,14世纪,1,调味品,4.325684171492737e-07,2.629108437675847e-07,221.0,0,1
土耳其语,dill,12世纪,1,调味品,9.272815272457332e-07,2.683848824261863e-07,221.0,0,1
阿拉伯语,coriander,14世纪,1,调味品,1.5427325316912691e-06,2.762841674670762e-07,221.0,1,2
土耳其语,caper,1592,1,调味品,5.622909782232455e-07,2.787104122379996e-07,221.0,0,1
土耳其语,octopus,1759,1,海鲜,9.771531819881472e-07,2.8034587631957385e-07,221.0,0,1
土耳其语,anchovy,1582,1,海鲜,8.217461088731528e-07,2.8318735706906805e-07,221.0,0,1
荷兰语,booze,14世纪,1,饮品,1.8999451672893236e-06,2.861987465503447e-07,221.0,0,1
纳瓦特尔语,tapioca,1707,1,食材,7.510889109393506e-07,3.029892158464533e-07,221.0,0,1
土耳其语,sardine,14世纪,1,海鲜,8.873883936238209e-07,3.166645537712997e-07,221.0,0,1
印地语/乌尔都语,ghee,1665,1,调味品,7.113123388080567e-07,3.180745853966911e-07,221.0,0,1
纳瓦特尔语,avocado,1696,1,水果,1.6480703379784245e-06,3.236043284680432e-07,221.0,1,3
印地语/乌尔都语,sev,,0,小吃,5.031909446578149e-07,3.313709347666267e-07,221.0,0,1
波斯语,jasmine,1562,1,茶,7.809905712617495e-07,3.412629994595335e-07,221.0,1,2
